student_id	course_id
389673983	1
234307576	1
842892572	1
768432034	1
945351487	1
644803654	1
573910176	1
382702751	1
167867174	1
609002735	1
786084065	1
852178558	1
246881648	1
602386876	1
274540403	1
754984587	1
680087130	1
308422548	1
628713570	1
976604031	1
242182440	1
887590492	1
515928417	1
653905816	1
977458548	1
680087130	1
274540403	1
706886652	1
168142817	1
577984076	1
976604031	1
283291255	1
543680280	1
536906522	1
506939246	1
127777764	1
768432034	1
305149106	1
498719562	1
577984076	1
536906522	1
848490382	1
890256993	1
457397130	1
283291255	1
653905816	1
513482822	1
606119780	1
754984587	1
680087130	1
396080855	2
977415079	2
754788350	2
852178558	2
664612269	2
382702751	2
644803654	2
778101038	2
492186064	2
852178558	2
653905816	2
234307576	2
826350775	2
457397130	2
602386876	2
804417795	2
854440537	2
790429871	2
602386876	2
308422548	2
283291255	2
382702751	2
778101038	2
269299554	2
460363237	2
842892572	2
505275963	2
513482822	2
988153063	2
933289501	2
684181404	2
519571879	2
577984076	2
297228007	2
602386876	2
505275963	2
536906522	2
166585493	2
513482822	2
396080855	2
434052073	2
305149106	2
606119780	2
842892572	2
944803023	2
515928417	2
583220390	2
706886652	2
602386876	2
442812673	2
155831586	3
988153063	3
804417795	3
513482822	3
945351487	3
988153063	3
649335568	3
492186064	3
437203311	3
269299554	3
513482822	3
498719562	3
680087130	3
396080855	3
155831586	3
933289501	3
945351487	3
988153063	3
890256993	3
894075184	3
357622917	3
577188460	3
536906522	3
759270867	3
894075184	3
519571879	3
731448269	3
894075184	3
469310830	3
274540403	3
988153063	3
283291255	3
505011396	3
976604031	3
492186064	3
491223319	3
234307576	3
933289501	3
389673983	3
379024917	3
454464625	3
842892572	3
269299554	3
437203311	3
515928417	3
602386876	3
602386876	3
680087130	3
492186064	3
754984587	3
436622517	4
609002735	4
234307576	4
168142817	4
435353686	4
156556360	4
167867174	4
382702751	4
435353686	4
577188460	4
541629074	5
825446810	5
577188460	5
506939246	5
618989474	5
790429871	5
854440537	5
126665247	5
759270867	5
436622517	5
972961164	5
759270867	5
242182440	5
768432034	5
826350775	5
435353686	5
890256993	5
434052073	5
622009740	5
457397130	5
434052073	5
842892572	5
302334151	5
169467932	5
583220390	5
126665247	5
127777764	5
370174260	5
976604031	5
308422548	5
977415079	5
804417795	5
274540403	5
246881648	5
434052073	5
786084065	5
454464625	5
606119780	5
436622517	5
305149106	5
269299554	5
782084266	5
622009740	5
234307576	5
786084065	5
126665247	5
606119780	5
437203311	5
460363237	5
852178558	5
653905816	6
848490382	6
156556360	6
513482822	6
541629074	6
297228007	6
977458548	6
308422548	6
357622917	6
890256993	6
435353686	6
536906522	6
166585493	6
436622517	6
515928417	6
519571879	6
382702751	6
274540403	6
513482822	6
442812673	6
779406872	6
602386876	6
944803023	6
435353686	6
854440537	6
168142817	6
988153063	6
127777764	6
988153063	6
622009740	6
167867174	6
933289501	6
664612269	6
684181404	6
434052073	6
382702751	6
492186064	6
505275963	6
778101038	6
491223319	6
786084065	6
766483437	6
944803023	6
754788350	6
852178558	6
169467932	6
491223319	6
609002735	6
606119780	6
435353686	6
