course_id	student_id	assign_number	title	content	date_assigned	date_due	date_submitted	points	score
1	'644803654'	inst123fall2023w01	assignment01	lorem ipsum	9/1/2023	9/8/2023		20	0
1	'644803654'	inst123fall2023w02	assignment02	lorem ipsum	9/8/2023	9/15/2023		20	0
1	'644803654'	inst123fall2023w03	assignment03	lorem ipsum	9/15/2023	9/22/2023		20	0
1	'644803654'	inst123fall2023w04	assignment04	lorem ipsum	9/22/2023	9/29/2023		20	0
1	'644803654'	inst123fall2023w05	assignment05	lorem ipsum	9/29/2023	10/6/2023		20	0
1	'644803654'	inst123fall2023w06	assignment06	lorem ipsum	10/6/2023	10/13/2023		20	0
1	'644803654'	inst123fall2023w07	assignment07	lorem ipsum	10/13/2023	10/20/2023		20	0
1	'644803654'	inst123fall2023w08	assignment08	lorem ipsum	10/20/2023	10/27/2023		20	0
1	'644803654'	inst123fall2023w09	assignment09	lorem ipsum	10/27/2023	11/3/2023		20	0
1	'644803654'	inst123fall2023w10	assignment10	lorem ipsum	11/3/2023	11/10/2023		20	0
1	'644803654'	inst123fall2023w11	assignment11	lorem ipsum	11/10/2023	11/17/2023		20	0
1	'644803654'	inst123fall2023w12	assignment12	lorem ipsum	11/17/2023	11/24/2023		20	0
1	'644803654'	inst123fall2023w13	assignment13	lorem ipsum	11/24/2023	12/1/2023		20	0
1	'644803654'	inst123fall2023w14	assignment14	lorem ipsum	12/1/2023	12/8/2023		20	0
1	'644803654'	inst123fall2023w15	assignment15	lorem ipsum	12/8/2023	12/15/2023		20	0
1	'543680280'	inst123fall2023w01	assignment01	lorem ipsum	9/1/2023	9/8/2023		20	0
1	'543680280'	inst123fall2023w02	assignment02	lorem ipsum	9/8/2023	9/15/2023		20	0
1	'543680280'	inst123fall2023w03	assignment03	lorem ipsum	9/15/2023	9/22/2023		20	0
1	'543680280'	inst123fall2023w04	assignment04	lorem ipsum	9/22/2023	9/29/2023		20	0
1	'543680280'	inst123fall2023w05	assignment05	lorem ipsum	9/29/2023	10/6/2023		20	0
1	'543680280'	inst123fall2023w06	assignment06	lorem ipsum	10/6/2023	10/13/2023		20	0
1	'543680280'	inst123fall2023w07	assignment07	lorem ipsum	10/13/2023	10/20/2023		20	0
1	'543680280'	inst123fall2023w08	assignment08	lorem ipsum	10/20/2023	10/27/2023		20	0
1	'543680280'	inst123fall2023w09	assignment09	lorem ipsum	10/27/2023	11/3/2023		20	0
1	'543680280'	inst123fall2023w10	assignment10	lorem ipsum	11/3/2023	11/10/2023		20	0
1	'543680280'	inst123fall2023w11	assignment11	lorem ipsum	11/10/2023	11/17/2023		20	0
1	'543680280'	inst123fall2023w12	assignment12	lorem ipsum	11/17/2023	11/24/2023		20	0
1	'543680280'	inst123fall2023w13	assignment13	lorem ipsum	11/24/2023	12/1/2023		20	0
1	'543680280'	inst123fall2023w14	assignment14	lorem ipsum	12/1/2023	12/8/2023		20	0
1	'543680280'	inst123fall2023w15	assignment15	lorem ipsum	12/8/2023	12/15/2023		20	0
